,Unnamed: 0,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT,name,AST/TOV
5,5,24.0,CLE,NBA,PG,72.0,72.0,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,35.0,4.0,39.0,kyrie_irving,2.32
12,12,28.0,,NBA,SG,19.0,0.0,23.3,5.5,11.5,0.482,1.9,5.0,0.389,3.6,6.5,0.5529999999999999,0.5670000000000001,1.1,1.4,0.769,0.2,1.6,1.8,3.0,0.6,0.1,1.3,1.6,14.1,19.0,2.3000000000000003,21.3,jordan_crawford,2.3076923076923075
2,2,22.0,BOS,NBA,SG,79.0,24.0,30.4,3.4,9.5,0.359,1.2,4.2,0.28300000000000003,2.2,5.3,0.42,0.422,2.6,3.2,0.812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6,18.8,4.9,23.7,marcus_smart,2.3
0,0,25.0,MIA,NBA,SG,78.0,65.0,25.2,2.4,5.9,0.413,0.9,2.8,0.332,1.5,3.1,0.488,0.4920000000000001,0.6,0.9,0.62,1.2,2.1,3.3,1.6,0.6,0.2,0.7,1.8,6.4,10.1,2.9000000000000004,13.000000000000002,rodney_mcgruder,2.285714285714286
3,3,23.0,DET,NBA,SG,76.0,75.0,33.3,4.9,12.2,0.399,2.0,5.8,0.35,2.9,6.5,0.442,0.481,2.0,2.4,0.8320000000000001,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8,18.4,3.9,22.3,kentavious_caldwell_pope,2.2727272727272725
4,4,26.0,POR,NBA,PG,75.0,75.0,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.0,12.1,0.4920000000000001,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,36.8,5.5,42.3,damian_lillard,2.269230769230769
2,2,22.0,DEN,NBA,SG,57.0,56.0,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.5579999999999999,0.586,1.8,2.4,0.7759999999999999,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,20.2,3.6,23.8,gary_harris,2.230769230769231
9,9,30.0,CHO,NBA,SG,74.0,0.0,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,13.8,2.9000000000000004,16.7,marco_belinelli,2.2222222222222223
9,9,29.0,MIA,NBA,SG,62.0,13.0,24.2,3.7,9.0,0.416,2.4,6.4,0.378,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,12.5,2.5,15.0,wayne_ellington,2.2
1,1,23.0,CHO,NBA,C,75.0,16.0,26.1,4.3,10.7,0.399,1.5,4.7,0.328,2.7,6.0,0.455,0.471,1.6,2.1,0.7559999999999999,0.8,3.7,4.5,2.2,0.6,0.5,1.0,1.9,11.7,15.9,4.8,20.7,frank_kaminsky,2.2
